GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
ENSG00000001167.15	13	10	20	11	13	12	58.99999	50	47	74	49	53
ENSG00000001460.18	26	14.00001	31	5	8	8	12	8	9	5	6.00001	9
ENSG00000001461.17	13	26	8	25	15	30	95	69	84.99999	92	77	58
ENSG00000001497.18	38	28	40	41.99998	45	36.00001	251.99996	267.00001	230.99997	298.99999	281.99999	346.00001
ENSG00000001561.7	4	4	3	2	4	1	43	39	30	32	33	8
ENSG00000001617.12	0	0	0	0	0	0	0	0	0	0	0	0.99999
ENSG00000001626.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	32	22	15	39	37	13	62	45	53	64	67	32
ENSG00000001630.18	88	118.99999	102	105	74	69	466	517	467	408	305.00001	377
ENSG00000001631.17	16.00001	1.99997	5	6	9.99998	1.99997	52.00002	33	41.99999	40.00002	60	19.99999
ENSG00000002016.18	0	4	3	4	0	2	24	9	13	12	6	16
ENSG00000002079.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330.14	51	45	42	52	66	40	222	231	217	197	220	221
ENSG00000002549.13	120.99999	113	113	230	290.99999	203	369	468	388	789	710.00001	790
ENSG00000002586.20	63	68.99999	82	49.00001	78	57	92	96	83	65	78	82
ENSG00000002587.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746.15	51	41	29	39	38	29	12	13	12	4	10	11
ENSG00000002822.16	16	5	27.00001	23.99999	8	0	45	34	39	42	38	47.00001
ENSG00000002834.19	24	7	8	22	24	14	117	136	110	124	109	131
ENSG00000002919.15	13	13	10	17	12	15	34	45.99999	47	65	79	57
ENSG00000002933.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056.8	55	56	57	69.99999	86	76	387	341	342	414	395	477
ENSG00000003096.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003137.9	0	0	0	0	0	0	0	0	1	1	1	0
ENSG00000003147.19	0	0	0	0	1.00002	1	7	3	5	0	1	1
ENSG00000003249.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003393.16	5	8	3	2	8	5	16	19	12.99999	15	15	10.99998
ENSG00000003400.16	14.00001	15	25	24	28	5	51	49	63	77	53	84
ENSG00000003402.21	62	79	53	110.00001	93	107	97	75	69	140	115	107
ENSG00000003436.16	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000003509.16	5	16	8	7.00001	18	8	28	48	34.00001	41	25	25
ENSG00000003756.17	20	10	16	13	15	13	73	54	51	62	58	56
ENSG00000003987.14	0	0	0	0	0	0	1	3	0	2	1	0
ENSG00000003989.18	5	7	5	2.00001	2	4	15	22	15	6	9.99999	7
ENSG00000004059.11	185	268	210	165	241	221	450	424	414	364	327	415
ENSG00000004139.14	5	7	12	12	2	6	44	38	32	25	19	18
ENSG00000004142.12	38	60	41	64	101	53	311	348	295	370	289	416
ENSG00000004399.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004455.18	807.99999	813	867	1015.99999	1191.00001	1145.00001	652.00001	677	699	869.99999	883.99999	908.99999
ENSG00000004468.13	40	29	39	39	51	31	101	112	90	100	91	102
ENSG00000004478.8	99	123	96	183	226	149	572	580	609	853	800	861
ENSG00000004487.18	22	38	15	28	45	29	192	184.99999	165	228	209.00001	200
ENSG00000004534.15	15	9.00002	14	11	11.00002	14	40	43	32	60	38.00001	39.99999
ENSG00000004660.15	1	1	0	0	0	3	2	2	3	1	1	1
ENSG00000004700.16	1	1	8.99998	1	8	2	138	136	122	129	129	70
ENSG00000004766.17	11	5.99999	8	4	12.00001	9	60	45	36	44.99999	46	35
ENSG00000004776.13	2	1	2	1	4	0	3	0	4	1	1	1
ENSG00000004777.19	2.00001	6	2	1	2	2.00001	12	13	9	11	4	6
ENSG00000004779.10	2562	2942	2845	4114	4252	4040	848	834.99999	960	1154	1216	1215.99999
ENSG00000004799.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004809.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838.14	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000004846.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864.14	13	16	14	12	8	4	42	50	42	55	47	43
ENSG00000004866.22	18	8.99998	7.00002	13	16.00001	5	93.99999	94	88	98	90	99
ENSG00000004897.12	13	12	13	34	28.00001	18	107	100	98	142.99999	130	88
ENSG00000004939.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004948.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961.15	16	15	11	30	34	31	78	100.99999	78	146	142	150
ENSG00000004975.12	7	20	26	9	0	8	81	63	76	64	46	47
ENSG00000005001.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007.14	35.99998	59	39	73	40.00001	39	133	125	104	105.99999	98	95
ENSG00000005020.13	24	20	20	27	10	7	94	74	72	74	93	39
ENSG00000005022.6	784	884	961	609	1199	1192	1749	1648	1731	2013	2105	2177
ENSG00000005059.16	23	22	22	16	18	13	124	93	122	86	106	91
ENSG00000005073.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075.16	4467	4547	4563	5385	5553	5729	719	730	799	872	949	955
ENSG00000005100.13	9	8	3	7	13	0	35	32	41	54	41	43
ENSG00000005102.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108.17	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000005156.12	14	17	15	30	9	12	68	82.00001	97	73	49	61
ENSG00000005175.10	39	34	36	49	34	26	90	84	73	80	91	73
ENSG00000005187.12	10.00001	7.99999	11.99999	20	6	3	101	100	93	73	92.00001	59
ENSG00000005189.20	8	6	2	2	4	2	13	13	19.00001	16	17	13
ENSG00000005194.15	12	8	12	17.00001	14	12	58	48	71	79.99999	98.00001	94
ENSG00000005206.17	11	21	6	8	6	6	62	64	56	50	36	39
ENSG00000005238.20	1	1	2	0	5	1	6	8	4.99999	4	12	6
ENSG00000005243.10	44	34.99999	34	20.00001	36	29	153.99999	163	145	97.00001	104.99999	102
ENSG00000005249.14	4	3	14	10.00001	9	4	72	61	46.00002	49	51	38.00002
ENSG00000005302.19	4	5	3	19	17	11	35.00001	33	31.00001	31.99999	44.99999	22.99999
ENSG00000005339.15	21	12	14	10	14	16	69	66	54	84	51	69.99999
ENSG00000005379.17	0	0	0	1	0	0	4.00001	2	4	2	1	0
ENSG00000005381.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436.14	16	20.00001	15.00001	20	25	13.99999	106.00001	69	80	89	93.00001	56.00001
ENSG00000005448.17	144.00001	193	184	85	118	125	87	101.00001	95	74	92.99999	70
ENSG00000005469.12	10	19	14	23	33	15	17	14	19	19	18	21
ENSG00000005471.19	0	0	0	0	0	0	0	1	1	3	1.99999	1
ENSG00000005483.23	35	28	17	29	32.99999	19	78	86.00001	57	59	73	38
ENSG00000005486.17	57	50.99999	67	61	58	50.99999	82	108.00001	109	107	95	87.99999
ENSG00000005513.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700.15	11.99999	22	19	18	20	7	76	76	70	74	85	50.99999
ENSG00000005801.18	64	37.00001	46	44.00001	58	39	49.99999	51.00001	48	53	70.99998	25.99999
ENSG00000005810.20	38.00001	24	27.99998	25.00001	45.99999	9	135.00001	111	106.99999	138.99999	131.99998	81.99999
ENSG00000005812.11	17	10	18	9	17	9	134	116	127	111	100	85
ENSG00000005844.19	7	16	9	25	15	18	39	53	40	50	40.99999	38
ENSG00000005882.12	21	20	27	17	26	16	109.99999	87	86	71	74	80
ENSG00000005884.18	9	6	4	6	5	0	34	39	38	21	16	20
ENSG00000005889.16	6	3	2	8	7	9	38	52	28	42	25	27
ENSG00000005893.17	51.00001	55	35	56	59.99999	40	364	373	309	308	340	287
ENSG00000005961.19	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005981.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007.12	33	37	41	43	43	51	226	223	227	288	253	249
ENSG00000006015.18	29.99999	59	63	58.00001	56	64	340.99999	335.99999	317.00001	249	198	214.00001
ENSG00000006016.12	4	0	0	3	0	1	0	0	0	0	1	0
ENSG00000006025.13	4	2	4	1	1	2	15	20	18	18	12	9
ENSG00000006042.12	1	9	5	7	4	0	14	12	20	13	6	11
ENSG00000006047.13	0	2	0	2	3	0	20	12	12	8	5	4
ENSG00000006059.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.18	2	1	0	3	7	0	21	12	10	14	13	10
ENSG00000006071.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006116.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.15	3	0.99999	2	0	3	0	25	26	29	11	4	12
ENSG00000006125.18	17	24	21.00001	26	18	31	154	134	121.99999	135.99999	136	114
ENSG00000006128.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194.11	15	11	28	19	26	19	93	79.99999	107	82	104	79
ENSG00000006210.7	0	0	0	0	0	0	0	0	0	0	0	0
