	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000001460.18	13	7.00001	14	4	5	8	10	8	9	5	5.00001	9
ENSG00000001461.17	12	20	7	20	13	28	86	66	77.99999	84	67	53
ENSG00000001497.18	36	23	32	40.99998	43	35.00001	246.99996	261.00001	224.99997	288.99999	274.99999	333.00001
ENSG00000001561.7	4	4	1	2	4	1	42	33	29	32	33	8
ENSG00000001617.12	0	0	0	0	0	0	0	0	0	0	0	0.99999
ENSG00000001626.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	32	20	15	28	32	13	50	41	45	54	55	25
ENSG00000001630.18	86	111.99999	101	104	72	69	456	509	461	402	290.00001	369
ENSG00000001631.17	13.00001	1.99997	4	5	9.99998	1.99997	44.00002	24	34.99999	32.00002	49	17.99999
ENSG00000002016.18	0	4	0	4	0	2	18	9	10	11	6	13
ENSG00000002079.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330.14	31	27	28	27	49	24	220	229	215	193	215	218
ENSG00000002549.13	112.99999	105	112	221	286.99999	188	359	454	380	752	693.00001	778
ENSG00000002586.20	49	57.99999	71	41.00001	66	46	92	95	79	65	75	81
ENSG00000002587.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746.15	46	27	28	38	37	27	9	9	10	3	9	11
ENSG00000002822.16	9	4	20.00001	22.99999	6	0	40	32	36	39	37	44.00001
ENSG00000002834.19	20	4	5	17	18	13	116	134	110	124	109	131
ENSG00000002919.15	13	12	10	17	12	14	31	42.99999	45	62	76	56
ENSG00000002933.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056.8	54	53	52	60.99999	80	60	379	338	337	410	391	466
ENSG00000003096.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003137.9	0	0	0	0	0	0	0	0	1	1	1	0
ENSG00000003147.19	0	0	0	0	1.00002	1	5	2	4	0	1	1
ENSG00000003249.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003393.16	2	8	2	0	3	4	15	19	12.99999	15	14	9.99998
ENSG00000003400.16	13.00001	11	23	22	24	5	47	48	57	71	50	78
